file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
QmajKTsyJpaDacEsMnVZdNvFHegCLFXBxcue4ezpQWRUm4_output.musicxml,140,2654,1267,2502,176,982,80,86,16,0,0,0,57
QmaK6Ex5EsfgzN2R3dYeexfoM6CugKBFE4ue7iyWKnz8w5_output.musicxml,144,1776,913,1594,137,605,81,61,8,0,10,4,57
QmakavUAjy99McFBD4SCeZoQ6ax3CSuNCP2Yqe8Ys2YGgj_output.musicxml,197,5262,2097,4812,222,1495,108,79,20,12,88,34,113
QmaKbaJv9ujux35hc6NZ5YtjreEPsHGdtBp2XKybhKJkUF_output.musicxml,220,1422,998,916,119,388,87,40,8,1,32,14,50
QmaKcH7cKadFNqqNFf2qM9vbozG1MDPH1zDCfqkrdEZcdh_output.musicxml,107,2398,1054,2270,121,803,68,54,17,9,64,28,53
QmaKfJx1JMzsbx3Lr5N718bSpRusL3gx9KaXT7XrF9D7Mt_output.musicxml,127,2740,1314,2465,152,962,78,50,7,1,50,16,80
QmakN8vYpdNA5NPw3YygcAL1kBVrKQLN9UkqjvDDrY25Ah_output.musicxml,707,20560,8361,19527,801,6178,430,372,95,32,346,286,370
QmaNGtDvPrSiQBJsnHjRKopHLFpLrAJ9wxYs1RM9vxsEpj_output.musicxml,129,3128,1430,3071,151,1019,72,54,14,4,115,44,81
QmaoqaETxRBSu8RquVRYMNPwQiVc3NxTJSYcEGMtTJK4Y2_output.musicxml,156,3414,1570,3342,173,1152,93,77,18,8,29,54,53
QmaoVYDw1YRzHcS5UZ29t9qDm1ojbShGN6ynZ3dZbYAqzU_output.musicxml,154,2458,1336,2397,171,831,83,76,20,2,11,30,41
QmaP5SYWUTtkw6jhiXnWWVH8ghaXQBAQNnXaNgVhWub3Y3_output.musicxml,135,1914,1067,1840,125,682,77,57,13,7,49,36,39
QmapFqbjnimJH7vdUbAKdiM9Yy97To2jwSnpoqe93fhP1n_output.musicxml,131,940,647,640,88,249,61,24,4,0,5,24,20
QmaPHK2bD8DWo6H2pcWBSiM5dYBaonGQB5Nv2CmB8HRjdf_output.musicxml,178,2328,1226,2043,169,811,92,70,16,0,0,0,43
QmaPQCQLGPJGQ6vAM2sSRfrKo2wpDkkUn1KkLaFiA3Tzo3_output.musicxml,170,580,468,451,102,318,55,24,7,1,30,12,31
QmaPtrLoCVWB11ZTzhMuAxFyx3MTRqjiEkiAXj2U7iPtmz_output.musicxml,134,3418,1690,3404,160,1082,86,81,17,4,90,60,89
QmaQ3N5nZc7VrPaqwhRPo2s1tXLG5cztEAjjWMS39EUBtc_output.musicxml,72,1194,549,1124,67,354,34,30,6,2,35,34,33
QmaQ57ggA6M8Lafeu82Lbwv4RrXfbpu8TqxJtwDWRD5Ycn_output.musicxml,125,2680,1338,2657,154,913,78,83,16,7,42,34,49
Qmaqchv3ggauwRquSfd5AHHkC4M2W8e54MeexseGSvZjvm_output.musicxml,155,2842,1454,2750,175,986,91,90,16,2,82,58,49
Qmaquv3KVVmrUmDLYN8AkprHjUoyB7BXnnS1kgZ9A83tZH_output.musicxml,1679,16458,9385,13372,1314,6881,735,436,81,34,439,280,489
Qmar4rkd2DF27a59jNiLQb9xJ4gPVt6ai75q6n4E2NQezV_output.musicxml,169,3586,1680,3561,181,1123,114,95,18,9,103,54,86
QmaruqCQwNHm1pGywREJrty8rLeYDhh1jvnffSBimXCmky_output.musicxml,202,2626,1498,2179,191,1276,89,58,18,8,80,60,68
QmaRVU6xvvUshPVRWDojuiKVKxqboTrVtNRWNi4zKDBGT3_output.musicxml,32,82,56,55,27,66,14,15,1,0,0,0,4
QmatiQyue1Ycr8oAd3ANDPAgSEF1YXZ6gK9JLs1JFtTsnZ_output.musicxml,193,3238,1616,2962,226,1198,99,72,26,2,30,16,56
QmatmaGXSnw2sUwAsHZ8u9Ui36cmShtYgDAtnuebHCpuRE_output.musicxml,106,2374,1119,2450,114,788,67,59,11,4,15,26,32
QmatTdS42gnk99tshFc2b9WKgZwM6xpvgrPS1ZMSM6Aq76_output.musicxml,67,1324,663,1303,80,457,45,32,12,1,5,28,29
QmaU7tPbS2kpQrDKeJSYrVxVQ6o3e5huoVCzVAcuz9QRyv_output.musicxml,193,2750,1388,2611,215,978,109,77,19,8,47,10,69
QmaUbpvbxx2ibbjPm4KpuyDGBaVL9CrANjbVgj4hij1pz5_output.musicxml,172,4714,2077,4621,204,1392,110,91,22,10,67,60,72
QmaUEXyngr2Mgo6bSpMpj9Dd4JYXnB6ieACMehTtHqYPMK_output.musicxml,105,282,245,244,58,162,48,21,3,2,45,32,22
QmauRnCeMPn1v8pAp3oeFEswxiChrQmYYfVX2QHBC45JRZ_output.musicxml,242,968,690,720,175,718,99,48,11,7,60,34,44
Qmaurw2qunCtQQ5Yrxw1ye3zdZEDX2LJq2wyC6yiaXChg9_output.musicxml,210,4102,2001,3782,233,1393,124,93,16,2,64,90,94
QmauUVtm9pNrKFABU56qfSDwMZuzhtaqmTvBCuun8PcFBF_output.musicxml,170,2148,1144,1972,161,838,84,58,17,6,30,26,60
QmaVcZykfUKBTQc9CsJk7ywKbq24nkYvLm65X7enktzgzv_output.musicxml,160,1454,904,1261,122,625,67,33,9,0,18,4,38
QmaVYapiM1tN7JFBr7BX5ShXs9WRoPESgv2WXLZZn9zYCG_output.musicxml,137,2650,1385,2518,159,953,98,88,14,6,95,66,58
QmaW1jb8SiKfW2zGQzuipGLgJ1dbQuoZRVJr2akrXL6SWs_output.musicxml,105,1610,847,1511,115,563,55,39,13,6,40,28,64
QmaWc1pDZTDx8vGcZwSRGtnR2oEBUd95gZxPPKYbyRBh59_output.musicxml,613,5386,3369,4268,523,3501,248,140,31,16,232,154,182
QmaWK4xLCU9FsWgmaVGQZKWxFocuFfz7i7cz2WGWwp4nix_output.musicxml,182,3770,1867,3555,229,1337,116,92,22,0,0,16,78
QmawtQNvDFRu8ge6BiYVujV4rZ8RSKgB6woM14LQ8HGr5i_output.musicxml,19,80,47,46,11,50,8,2,0,1,0,0,4
QmaXcoQS1aPNZPck566zrwuf4s14hYN7jmneEfoPx5jdM4_output.musicxml,170,3482,1781,3423,199,1172,116,107,29,1,15,4,56
QmaxwvdCXek9PozpVFpAak8GB2j9YQVnkxLWpgzjsBXXjN_output.musicxml,106,2662,1278,2557,121,847,63,47,12,5,71,44,69
QmayHBekMPstLVpBj6zMhXF2oP7panKqh6VNXHFAHsUGUY_output.musicxml,171,4314,1891,4278,190,1232,102,77,20,7,103,88,81
