file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
QmbZmDbmVAuf1iu5X6msyt6AYdiH5dhBXc5TUtwtX5Lsvy_output.xml,208,4500,6146,3588,179,1798,119,96,6,0,0,28,0
Qmc1JAC9gXBt9WKpujDEvsZ8qTkAeyrdEYPYCexnSLHocb_output.xml,75,1610,1978,788,74,731,26,14,5,1,0,8,9
Qmc1na6jbBFLNd2UAfHdTkP84YXPy7DzmLMgKWjeRvWo5W_output.xml,147,3794,5510,2490,138,1452,100,105,14,0,0,0,5
Qmc2ihdhQcBbMfTV14iShRF7Gb8jT7WKtXufiCBUprmzWx_output.xml,83,1830,2467,827,67,465,56,52,15,2,0,48,1
Qmc6JkqAbgYs7xvXgBFk5K6VesW97oGZDYkyx32rwAcbP6_output.xml,128,3516,5421,1985,118,1105,94,93,22,0,0,12,11
QmcBCmS8Vae4REM7xyw7vJENvEEyrokt6ag7yd715nVpoV_output.xml,80,1154,1252,550,65,433,46,42,17,0,0,0,0
QmcDF6vyFncajD69s4P7E6cL498pVt2FXQQzLDeZVUYJQR_output.xml,134,2898,3985,1712,121,1012,91,91,29,3,0,4,2
Qmcef15nWEJ1FbCymLQF8hwN3wAwbmpbijport7BLED4dU_output.xml,47,772,961,428,39,326,31,29,4,1,0,0,3
QmcHjkMMFYXBphh4KcYT2La37UYbc7cR5Aod4nB5BSCXwn_output.xml,119,3172,4383,1730,98,932,83,79,29,11,1,132,0
QmcJKknKWdUw3DifPWvPmG7yRs6tjKBWXn4fmRwevDU4Zq_output.xml,358,3774,3045,2462,272,1969,169,131,9,0,0,0,0
QmcLTiA8u2rvYirDUborAcLfwNwaptykdyhYnCbwYLmoTe_output.xml,135,3412,4825,1915,118,1108,102,104,36,23,15,86,12
QmcLXwiCUa2F2rXPzeaHp7DmafDeLxLyqRF6wX46fiNxfd_output.xml,141,3528,4973,2109,131,1312,87,68,22,7,5,38,7
QmcM5E2q6SMJuqk851axXftkF9yJ5B2yfk5VKGHwbvTzcf_output.xml,258,5530,7421,3844,242,2457,171,182,28,11,5,106,1
QmcMtSaHFqbvF2aJGx8EfJRkZBpx4nBczLbJguBk2ZELBJ_output.xml,11,80,38,58,9,54,6,4,0,0,0,2,0
QmcoUfkR8kQPBqUfpdjEUPBwz1o3EA9MivECufeWaTF9Nq_output.xml,75,1282,1302,854,66,465,42,34,8,3,0,0,0
QmcPEe85q7b2VRDMCQ69VjxjZejahUp4sL6zsPyFGL2zY2_output.xml,214,1472,1008,950,159,835,77,80,3,0,0,8,0
QmcQzt6aNBqd6FtQoTrHvT2YfVfjS4rGjWaWNheGFjzXGp_output.xml,261,2638,2860,1354,191,1144,122,109,20,1,0,4,14
QmcsravbWqvsVb4ECmyeqwnJnDn17yvYaNsij4eHKv7QKD_output.xml,200,2946,3424,1796,191,2030,102,86,22,1,5,48,2
QmcwKfRuWAvnQofcMzu6fyDpGaxHwqyw2bd9AgPJg7EAqb_output.xml,59,1528,2122,852,57,595,39,30,16,2,0,4,3
QmcxbrUrbBziYZj2noKrtXPa87dxdhAAk12pUPDato1g9X_output.xml,105,2768,3836,1478,103,995,68,60,23,1,0,4,10
QmcyxpgbpxZAxrNypLsa2Qop881UtGUw7ZJ775T3bmWcNe_output.xml,53,1402,1894,746,44,407,39,36,11,1,0,22,0
QmcZMyK152wGGmZQa3FScDrkP22aC96Q1nkdAGSQmUgymk_output.xml,131,3302,4718,2202,127,1298,86,96,23,5,0,32,0
QmcZo9AutYwuWHpW9BV1HMiN3F8tosTDPuLaCPEXC98Cb5_output.xml,151,4236,6238,2650,137,1510,114,126,32,0,0,4,0
Qmd1vYiah9fyrCnaZnBq2S7TP4NwnPBrax4QL1u3H18XHL_output.xml,548,2464,1690,1559,412,1742,266,247,5,0,6,92,1
Qmd4cA6nCNZgqnv44bt2KXpENk4TYMtpKFMvShp8kn5m9M_output.xml,64,1666,2436,1085,59,607,50,48,12,2,0,4,2
QmdBf4xcutYzLCj25VXoQEnFUMnEt5xmjvjeap7TtyyMif_output.xml,127,3452,4946,2128,124,1260,83,76,28,8,0,36,3
QmdDiCHuvDXE7YWDuaKap2dDc2Bn2pGdkyGzAqTJs9YTYy_output.xml,142,3748,5158,2598,138,1466,103,132,24,13,0,40,0
QmdghQhjX8nCEUFxViDMEdsUdFF1zfp2ZBZgv5jZ2ewZWg_output.xml,138,1490,1377,908,123,795,84,63,7,5,0,24,1
QmdGmF2RsNXjfHCyNEo5wziRrsER13twB2A7bvJeiwFXLs_output.xml,235,4744,5697,3099,207,2023,148,155,33,6,1,96,1
QmdGurS2pyYH9V3uYz28ErcAPJoqsLUL7A5zqPFeobENSw_output.xml,108,3042,4708,1866,100,1040,77,86,20,6,0,8,4
QmdGx4WMzeV3NoqBa1doCMLHSzEcVpM7yxfJscYB7Udz3y_output.xml,99,2458,3441,992,87,798,56,51,22,8,0,40,4
QmdJFNWySAa6Th7Src3ZEVnfHmXbvenc1WijqrknMrbuRN_output.xml,136,3396,4722,2163,128,1268,96,95,30,11,0,70,0
QmdjrV9iHemT9tJJaoPChuVvkvnu92XMTeMHZ8rZvT3jVJ_output.xml,168,3592,5395,2340,152,1371,110,118,16,1,0,20,4
QmdkDbCtpWbuE7vBTQHQ3EmbS1m3CmHT3wz7xuE9XE63QK_output.xml,202,5018,7259,3045,194,1959,130,144,39,9,1,90,2
QmdNNCXMdX1tUDXKzuKCVFQEJMAZjNWRmxStgLgwMmy3uh_output.xml,175,4898,7173,3181,169,1764,121,130,29,16,3,144,4
QmdqnSFR6oSXpRuX2tsQZzhyBoAHy2cbE5duXxu3QkAXLc_output.xml,98,2116,2961,1281,88,863,68,53,17,9,4,68,2
